location_id,location_set_version_id,location_set_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
4652,1020.0,111.0,130.0,"1,103,124,130,4652",4.0,1.0,1.0,42,Durango,Durango,Durango,Durango,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4652,MX-DUR,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4653,1020.0,111.0,130.0,"1,103,124,130,4653",4.0,1.0,1.0,43,Guanajuato,Guanajuato,Guanajuato,Guanajuato,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4653,MX-GUA,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4654,1020.0,111.0,130.0,"1,103,124,130,4654",4.0,1.0,1.0,44,Guerrero,Guerrero,Guerrero,Guerrero,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4654,MX-GRO,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4655,1020.0,111.0,130.0,"1,103,124,130,4655",4.0,1.0,1.0,45,Hidalgo,Hidalgo,Hidalgo,Hidalgo,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4655,MX-HID,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4656,1020.0,111.0,130.0,"1,103,124,130,4656",4.0,1.0,1.0,46,Jalisco,Jalisco,Jalisco,Jalisco,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4656,MX-JAL,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4657,1020.0,111.0,130.0,"1,103,124,130,4657",4.0,1.0,1.0,47,México,Mexico,Mexico,México,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4657,MX-MEX,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4658,1020.0,111.0,130.0,"1,103,124,130,4658",4.0,1.0,1.0,48,Michoacán de Ocampo,Michoacan de Ocampo,Michoacan,Michoacán de Ocampo,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4658,MX-MIC,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4659,1020.0,111.0,130.0,"1,103,124,130,4659",4.0,1.0,1.0,49,Morelos,Morelos,Morelos,Morelos,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4659,MX-MOR,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4660,1020.0,111.0,130.0,"1,103,124,130,4660",4.0,1.0,1.0,50,Nayarit,Nayarit,Nayarit,Nayarit,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4660,MX-NAY,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4661,1020.0,111.0,130.0,"1,103,124,130,4661",4.0,1.0,1.0,51,Nuevo León,Nuevo Leon,Nuevo Leon,Nuevo León,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4661,MX-NLE,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4662,1020.0,111.0,130.0,"1,103,124,130,4662",4.0,1.0,1.0,52,Oaxaca,Oaxaca,Oaxaca,Oaxaca,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4662,MX-OAX,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4663,1020.0,111.0,130.0,"1,103,124,130,4663",4.0,1.0,1.0,53,Puebla,Puebla,Puebla,Puebla,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4663,MX-PUE,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4664,1020.0,111.0,130.0,"1,103,124,130,4664",4.0,1.0,1.0,54,Querétaro,Queretaro,Queretaro,Querétaro,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4664,MX-QUE,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4665,1020.0,111.0,130.0,"1,103,124,130,4665",4.0,1.0,1.0,55,Quintana Roo,Quintana Roo,Quintana Roo,Quintana Roo,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4665,MX-ROO,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4666,1020.0,111.0,130.0,"1,103,124,130,4666",4.0,1.0,1.0,56,San Luis Potosí,San Luis Potosi,San Luis Potosi,San Luis Potosí,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4666,MX-SLP,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
